SSTL Thrust Test Platform
Time,PWM,Thrust

0.21,1.00,50.00
0.22,1.00,50.00
0.23,1.00,50.00
0.24,1.00,50.00
0.25,1.00,50.00
0.26,1.00,50.00
0.28,1.00,50.00
0.29,1.00,50.00
0.30,1.00,50.00
0.31,1.00,50.00
0.32,1.00,50.00
0.33,1.00,50.00
0.34,1.00,50.00
0.36,1.00,50.00
0.38,1.00,50.00
0.41,1.00,50.00
0.43,1.00,50.00
0.45,1.00,50.00
0.47,1.00,50.00
0.49,2.00,100.00
0.52,2.00,100.00
0.54,2.00,100.00
0.56,2.00,100.00
0.58,2.00,100.00
0.61,2.00,100.00
0.63,2.00,100.00
0.65,2.00,100.00
0.68,2.00,100.00
0.70,2.00,100.00
0.72,2.00,100.00
0.75,2.00,100.00
0.77,2.00,100.00
0.79,2.00,100.00
0.81,2.00,100.00
0.84,2.00,100.00
0.86,2.00,100.00
0.88,2.00,100.00
0.91,2.00,100.00
0.93,3.00,150.00
0.95,3.00,150.00
0.98,3.00,150.00
1.00,3.00,150.00
1.02,3.00,150.00
1.04,3.00,150.00
1.07,3.00,150.00
1.09,3.00,150.00
1.11,3.00,150.00
1.13,3.00,150.00
1.16,3.00,150.00
1.18,3.00,150.00
1.20,3.00,150.00
1.23,3.00,150.00
1.25,3.00,150.00
1.27,3.00,150.00
1.30,3.00,150.00
1.32,3.00,150.00
1.34,3.00,150.00
1.36,4.00,200.00
1.39,4.00,200.00
1.41,4.00,200.00
1.43,4.00,200.00
1.46,4.00,200.00
1.48,4.00,200.00
1.50,4.00,200.00
1.52,4.00,200.00
1.55,4.00,200.00
1.57,4.00,200.00
1.59,4.00,200.00
1.62,4.00,200.00
1.64,4.00,200.00
1.66,4.00,200.00
1.68,4.00,200.00
1.71,4.00,200.00
1.73,4.00,200.00
1.75,4.00,200.00
1.78,4.00,200.00
1.80,5.00,250.00
1.82,5.00,250.00
1.85,5.00,250.00
1.87,5.00,250.00
1.89,5.00,250.00
1.91,5.00,250.00
1.94,5.00,250.00
1.96,5.00,250.00
1.98,5.00,250.00
2.01,5.00,250.00
2.03,5.00,250.00
2.05,5.00,250.00
2.08,5.00,250.00
2.10,5.00,250.00
2.12,5.00,250.00
2.14,5.00,250.00
2.17,5.0
2.19,5.00,250.00
2.21,5.00,250.00
2.26,6.00,300.00
2.28,6.00,300.00

